,SentimentLabel,review
0,1,three star great speaker black verified purchase
1,2,four star great little gagit white verify purchase
2,2,awesome awesome white verify purchase
3,2,five star love echo black verify purchase
4,2,five star great device black verify purchase
5,2,dot really enjoy iti black verify purchase
6,2,getttt awesome product however take time alexa recognize language ask play spanish music she ’ll turn self black verified purchase
7,2,great great echo show original amazon echo echo dot work like advertise use music kitchen black verify purchase
8,0,die suddenly die month eligible return fun last black verify purchase
9,2,awesome music lover pair sound system buy two use house give one bro birthday connect mine highquality power subwoofer pair cheap power bookshelf speaker lie around music quality really great use good subwoofer really make huge difference music sound quality since dot small speaker that s really mean voice alexa app phone especially like play different song room song play roomsthese device especially useful elderly anyone live alone example ask alexa read news get ready work play rock song library preppe evening heavy party lol dto use echo listen free music already upload song cd hard drive collection amazon music library alexa search song first ask play song specific nameartistalbumgenre think implement kind smart uploading system bother actually upload datum song already amazon library find make uploading process really fast many casesi constantly amazed feature amazon pack system feel bit insecure use cloud store information certain get hack one day hey welcome future privacy distant memory ™ black verified purchase
10,2,get one say people do not already know amaze apple run siri microsoft battle offer cortana amazon snuck beat gamei use echo it ’s full add calendar event todo stuff control light heating house etc get second unit wall mount master bathroom get news update morning shout song want hear showerdid mention game interactive story last winter family sit around fire run alexa pacescan’t wait see what ’s next white verify purchase
11,2,great thing since chocolate alexayou rock omg people tech wizard even little read follow instruction that s great thing since chocolate seriously alexa become new bff teach new thing everyday remember word song ask alexa need new recipe chili con queso dip cover set alarm lock door find capital azerbaijan alexa absolute treasure trove information purchase three family friend absolutely love likely think thousand way utilize available programming capability delight endless source knowledge entertainment even little tech savvy find million way make little dot work shy use anyone black verified purchase
12,2,great gift arrive quicklygreat gift black verify purchase
13,2,love love use alexa smart outlet small appliance like fan light great playing music also dot seem good enough speaker purpose white verify purchase
14,2,five star like wish would interface without add ons black verify purchase
15,2,five star good toy buy long time black verified purchase
16,2,five star alexa good black verified purchase
17,2,happy dot can not say enough love dot black verify purchase
18,1,three star sure know work yet white verify purchase
19,1,three star echo dot black verify purchase
20,2,second one house love echo black verify purchase
21,2,five star arrive day learn tool feature black verify purchase
22,2,five star love new echo dot love black verify purchase
23,2,great device much expect great device much expect black verified purchase
24,1,device continuously reset give command device continuously resets give command black verify purchase
25,2,imagine live without buy extension echo use main unit living room dot bedroom accurate response sound great size make thing would normally take minute long almost instantaneous beware make much life easy may risk get lazy entitle black verify purchase
26,2,external connector side want buy couple wait someone get smart mount battery connector internally ra ther hang around outside edge course apply wall power connection micro usb since necessarily must outside heavens sake get connector side unit next release guarantee sale least guy user speak black verify purchase
27,2,like much like much especially type letter email mind go blank spelling word alexa spell type play pandora music constantly get news update weather trivial question black verify purchase
28,2,get kick far good device everever black verify purchase
29,0,two star know lot black verify purchase
30,2,five star love black verified purchase
31,2,nice item love product nice alexa white verify
32,2,awesome awesome black verify
33,2,five star great black verify purchase
34,1,three star ok white verify purchase
35,2,five star buy car absolutely love black verify purchase
36,2,five star work great easy install fun use black verify purchase
37,2,amazing amazon strike amazing product quick setup great tutorial black verify purchase
38,2,keep tab mom love little gadget much get mom one know home leave phone vibrate bag drop check thank black verify purchase
39,2,perfect everyone family 4 dot one show house perfect everyone family love listen music playing game ask question use intercom white verify purchase
40,0,love echo love echo convenient fun product everyone one month stop work turn that s reason give 2 star black verify purchase
41,2,good product echo way well good product echo way well start loud yes hook speaker what s point spring money echo black verify purchase
42,2,great assistant around although echo dot great assistant perfect straight box finding use well becomes retrieve answer fun gadget around music set cooking alert get forecast sport update etc sure keep 6 year old entertain yet unlock potential revisit review black verify purchase
43,2,fun excellent useful lot fun white verify purchase
44,2,great value enjoy alexa great value white verify purchase
45,0,one star somewhat satisfied sometimes stop tell black verify purchase
46,2,four star work great give 4 star volume go loud white verify purchase
47,2,easy breezy easy use great reminder instead write thing black verified purchase
48,0,1st echo dot work great hopper use dish network 1st echo dot work great hopper second echo dot upstairs dish joey recognize dish joey compatible even call dish compatible time black verify purchase
49,2,dot vaux combo happy echo dot supplement vaux speakercharger could happy result setup pair easy talk alexa short minute get top recommendation black verify purchase
50,2,what s love what s love echo dot buy basement son room work well love interface alexa son use help homework use basement order thing amazon turn light integrate smart thing white verify purchase
51,2,five star great black verify purchase
52,2,great product fun use handy completely addict black verified purchase
53,2,knowledgeable fun knowledgeable fun black verify purchase
54,2,five star love black verify purchase
55,2,five star awesome black verify purchase
56,2,five star love black verify purchase
57,2,like still come flaw need like still come flaw need work onsuch echo dot able control tv easy way sure tv problem software hope improvementon positive side able use echo dot turn light turn rice cooker smart plug multi plug entertainment system hook black verified purchase
58,0,two star smart black verify purchase
59,2,good awesome product white verify purchase
60,1,meh good guess white verify purchase
61,2,five star work great black verify purchase
62,2,love echo dot love echo dot one every room control light provide kind datum playing game attempt message family yet operate fire stick yet plan learn soon dot never glitchy use alarm timer even play soothe sound help sleep echo addict black verify purchase
63,2,five star hear command well black verify purchase
64,2,five star awesome product black verify purchase
65,2,four star great helpful device black verify purchase
66,2,five star thing much fun black verified purchase
67,0,two star stay connected internet black verify purchase
68,1,app please fun use hope future work app like nest alexa still know enough answer thing black verified purchase
69,2,music much fun save time shopping list list feel like assistant love music cute corny joke black verify purchase
70,2,absolutely love echo use daily home absolutely love black verify purchase
71,2,tell love cuddle couch still well partner alexa sure live without say white verify purchase
72,1,coolwhen work coolwhen work always 4060 chance echo hear hear 4060 chance ask sometimes light think sec go issue command phone android find google work well choose amazon compatible smart home device well say product ok certainly find google well answer question disappoint alexa still tell long take get work like google also find google turn light quick alexa alexa think sec since invest 3 hope product get well time black verified purchase
73,2,pratical useful nice gadget house alarm clock pop culture come handy additionally practical tool example past week inform we impend heat wave flash flood warning advisory lift pretty cool like think quick reference lazy deal phone computer price point pretty low simple setupthe one issue actually funny one whenever little brother cousin watch wrestling always come whenever alexa bliss mention quite hilarious black verified purchase
74,0,great concept lot bug still work great concept lot bug still work wait long hope beware alexa use microsoft bing search engine search goodluck find anything leave alexas skill beware play skill two three time alexa prompt rate review less three time without even open skill much ask morning music wake continue play alexa update get bang olufsen play bang olufsen beoplay s3 home bluetooth speaker black accompany dot amazing speaker clear crisp sound acoustic instrument crisp black verified purchase
75,0,one star black verify purchase
76,2,five star thing wonderful black verified purchase
77,2,five star love use every single day black verify purchase
78,2,five star great product plan buy two black verified purchase
79,2,five star add dot another room black verify purchase
80,2,good satisfied expect goodi satisfied expectedbuy white verify purchase
81,2,five star love echo dot always try g find new thing black verified purchase
82,1,three star seem trouble respond half time requie reboot black verify purchase
83,2,five star fantastic black verified purchase
84,2,five star excellent​ black verified purchase
85,0,make hate dot echo glorify mp3 player ask question know answer know one everything use music amazon music radio station white verify purchase
86,0,poor sound quality reason get music restroom shower speaker horrible like dot whispering kinda sad still everything echo white verify purchase
87,2,love echo dot love echo dot purchase three gift friend son grandchildren purchase 2 birthday present one home one vacation property enjoy alexa black verify purchase
88,0,two star green light go away black verify purchase
89,2,five star design black verify purchase
90,2,four star good investment planning get another stream audio connect echo device white verify purchase
91,2,great addition home great addition home place next bed use alarm clock news weather play music black verify purchase
92,1,daily trouble connect like work restart pretty every day trouble connect white verify purchase
93,1,connection good disconnectte time 2 1 connection good disconnectte times2 skill support chinese little dispointte black verified purchase
94,2,thumb great little gadget price black verify purchase
95,2,four star word well handy around house black verify purchase
96,2,five star fun black verified purchase
97,2,four star fun black verified purchase
